Bairro,nd_med,N_setores,V_setores_val,observacao
Aeroporto,3.0,2,2.0,OK
Agulha,3.03,6,6.0,OK
Arirambá,3.0,1,1.0,OK
Aurá,0.0,0,,Nenhum setor intersecta
Barreiro,3.0,6,6.0,OK
Batista Campos,5.74,9,9.0,OK
Baía do Sol,3.0,2,2.0,OK
Bengui,3.0,4,4.0,OK
Bonfim,3.0,3,3.0,OK
Brasília,3.0,1,1.0,OK
Cabanagem,3.0,7,7.0,OK
Campina,6.0,7,7.0,OK
Campina de Icoaraci,3.45,5,5.0,OK
Canudos,3.0,4,4.0,OK
Carananduba,3.0,3,3.0,OK
Caruara,3.0,2,2.0,OK
Castanheira,3.0,5,5.0,OK
Chapéu Virado,3.0,2,2.0,OK
Cidade Velha,4.8,4,4.0,OK
Condor,6.0,5,5.0,OK
Coqueiro,3.01,12,12.0,OK
Cremação,4.21,4,4.0,OK
Cruzeiro,5.81,2,2.0,OK
Curió-Utinga,3.0,8,8.0,OK
Farol,3.0,1,1.0,OK
Fátima,6.0,5,5.0,OK
Guamá,4.63,10,10.0,OK
Guanabara,3.0,1,1.0,OK
Itaiteua,3.0,2,2.0,OK
Jurunas,5.67,6,6.0,OK
Mangueiras,3.0,3,3.0,OK
Mangueirão,3.0,11,11.0,OK
Maracacuera,3.0,4,4.0,OK
Maracajá,3.0,1,1.0,OK
Maracangalha,3.0,5,5.0,OK
Marahú,3.0,1,1.0,OK
Marambaia,3.0,8,8.0,OK
Marco,5.13,13,13.0,OK
Miramar,3.0,4,4.0,OK
Montese (Terra Firme),3.68,7,7.0,OK
Murubira,3.0,2,2.0,OK
Natal do Murubira,3.0,2,2.0,OK
Nazaré,6.0,6,6.0,OK
Paracuri,3.0,5,5.0,OK
Paraíso,3.0,2,2.0,OK
Parque Guajará,4.02,7,7.0,OK
Parque Verde,3.54,12,12.0,OK
Pedreira,6.0,11,11.0,OK
Ponta Grossa,3.0,2,2.0,OK
Porto Arthur,3.0,1,1.0,OK
Praia Grande,3.0,1,1.0,OK
Pratinha,3.0,3,3.0,OK
Reduto,6.0,2,2.0,OK
Sacramenta,3.01,16,16.0,OK
Souza,3.97,7,7.0,OK
Sucurijuquara,3.0,2,2.0,OK
São Brás,5.36,4,4.0,OK
São Clemente,3.0,4,4.0,OK
São Francisco,3.0,2,2.0,OK
São João do Outeiro,3.0,2,2.0,OK
Tapanã,3.01,9,9.0,OK
Telégrafo,5.34,10,10.0,OK
Tenoné,3.26,8,8.0,OK
Umarizal,6.0,10,10.0,OK
Una,3.0,3,3.0,OK
Universitário,5.9,3,3.0,OK
Val-de-Cães,3.0,8,8.0,OK
Vila,3.0,2,2.0,OK
Água Boa,3.0,2,2.0,OK
Águas Lindas,0.0,0,,Nenhum setor intersecta
Águas Negras,3.06,6,6.0,OK
