Bairro,Habitações,Moradores,Média
Batista Campos,5795,19062,3.29
Canudos,3619,13789,3.81
Cidade Velha,3086,12119,3.93
Condor,10414,42699,4.1
Cremação,8324,31257,3.76
Guamá,23402,94432,4.04
Jurunas,15886,64478,4.06
Marambaia,17563,66697,3.8
Marco,18162,65819,3.62
Fátima,3008,12385,4.12
Nazaré,6404,20449,3.19
Pedreira,19016,69544,3.66
Reduto,1945,6358,3.27
Sacramenta,11515,44413,3.86
São Brás,5848,19865,3.4
Souza,3842,13137,3.42
Telégrafo,10587,42953,4.06
Montese (Terra Firme),15478,61438,3.97
Campina,2081,6108,2.94
Umarizal,8577,30025,3.5
Barreiro,6303,26003,4.13
Maracangalha,7707,30534,3.96
Miramar,139,515,3.71
Curió-Utinga,4414,16639,3.77
Val-de-Cães,1909,7028,3.68
Mangueirão,10092,36224,3.59
Universitário,689,2557,3.71
Castanheira,6714,24383,3.63
Guanabara,430,1588,3.69
Águas Lindas,4719,17520,3.71
Aurá,516,1827,3.54
Bengui,7592,29379,3.87
Cabanagem,7151,27781,3.88
Coqueiro,14164,51588,3.64
Parque Verde,10776,39126,3.63
Pratinha,5737,22585,3.94
São Clemente,2124,7714,3.63
Tapanã,17529,66642,3.8
Una,1836,6724,3.66
Águas Negras,1842,6890,3.74
Agulha,5169,19712,3.81
Campina de Icoaraci,7073,26718,3.78
Cruzeiro,3109,11644,3.75
Maracacuera,3572,13681,3.83
Paracuri,2552,9934,3.89
Parque Guajará,9385,34774,3.71
Ponta Grossa,3694,13245,3.59
Tenoné,8267,30429,3.68
São João do Outeiro,3378,12124,3.59
Itaiteua,526,1939,3.69
Brasília,1613,6012,3.73
Água Boa,2381,8553,3.59
Aeroporto,321,1170,3.64
Arirambá,519,1942,3.74
Carananduba,1376,5445,3.96
Caruara,203,794,3.91
Farol,236,849,3.6
Mangueiras,788,2842,3.61
Maracajá,844,3345,3.96
Natal do Murubira,291,1098,3.77
Porto Arthur,75,282,3.76
São Francisco,632,2437,3.86
Sucurijuquara,257,1074,4.18
Vila,842,3034,3.6
Praia Grande,197,748,3.8
Chapéu Virado,322,1156,3.59
Murubira,437,1517,3.47
Bonfim,210,776,3.7
Marahú,42,132,3.14
Paraíso,95,315,3.32
Baía do Sol,589,2414,4.1
