Bairro,Habitações,Moradores,Média,N,avg,mdn
Batista Campos,5795,19062,3.29,11763.0,3742.05,2000.0
Canudos,3619,13789,3.81,7863.0,1275.72,700.0
Cidade Velha,3086,12119,3.93,6976.0,1931.71,1000.0
Condor,10414,42699,4.1,20917.0,845.55,510.0
Cremação,8324,31257,3.76,17096.0,1769.97,800.0
Guamá,23402,94432,4.04,44917.0,940.73,510.0
Jurunas,15886,64478,4.06,32828.0,1065.28,510.0
Marambaia,17563,66697,3.8,35312.0,1357.51,710.0
Marco,18162,65819,3.62,36975.0,2096.32,1000.0
Fátima,3008,12385,4.12,6379.0,1124.57,600.0
Nazaré,6404,20449,3.19,13138.0,4356.62,2800.0
Pedreira,19016,69544,3.66,38128.0,1603.0,750.0
Reduto,1945,6358,3.27,4054.0,4334.58,2300.0
Sacramenta,11515,44413,3.86,22709.0,906.75,510.0
São Brás,5848,19865,3.4,12321.0,2918.1,1500.0
Souza,3842,13137,3.42,7385.0,2043.96,1200.0
Telégrafo,10587,42953,4.06,21475.0,1009.73,510.0
Montese (Terra Firme),15478,61438,3.97,29712.0,714.43,510.0
Campina,2081,6108,2.94,3927.0,2951.02,1530.0
Umarizal,8577,30025,3.5,18063.0,3011.72,1500.0
Barreiro,6303,26003,4.13,11743.0,614.42,510.0
Maracangalha,7707,30534,3.96,14991.0,937.92,510.0
Miramar,139,515,3.71,261.0,1208.26,600.0
Curió-Utinga,4414,16639,3.77,8671.0,1178.79,600.0
Val-de-Cães,1909,7028,3.68,3642.0,2800.99,1500.0
Mangueirão,10092,36224,3.59,18105.0,1274.01,700.0
Universitário,689,2557,3.71,1054.0,627.33,510.0
Castanheira,6714,24383,3.63,13174.0,1206.64,700.0
Guanabara,430,1588,3.69,668.0,743.17,510.0
Águas Lindas,4719,17520,3.71,7738.0,621.72,510.0
Aurá,516,1827,3.54,878.0,592.34,510.0
Bengui,7592,29379,3.87,13512.0,709.35,510.0
Cabanagem,7151,27781,3.88,12091.0,670.91,510.0
Coqueiro,14164,51588,3.64,25857.0,1207.41,750.0
Parque Verde,10776,39126,3.63,18723.0,1397.49,600.0
Pratinha,5737,22585,3.94,9689.0,960.04,510.0
São Clemente,2124,7714,3.63,3138.0,602.09,510.0
Tapanã,17529,66642,3.8,29915.0,893.79,510.0
Una,1836,6724,3.66,2936.0,738.39,510.0
Águas Negras,1842,6890,3.74,3318.0,823.74,510.0
Agulha,5169,19712,3.81,9298.0,827.38,510.0
Campina de Icoaraci,7073,26718,3.78,12937.0,876.28,510.0
Cruzeiro,3109,11644,3.75,5967.0,1017.66,510.0
Maracacuera,3572,13681,3.83,6112.0,649.55,510.0
Paracuri,2552,9934,3.89,3870.0,617.88,510.0
Parque Guajará,9385,34774,3.71,14953.0,777.73,510.0
Ponta Grossa,3694,13245,3.59,6694.0,1078.22,600.0
Tenoné,8267,30429,3.68,13199.0,890.48,510.0
São João do Outeiro,3378,12124,3.59,5582.0,785.01,510.0
Itaiteua,526,1939,3.69,1005.0,676.8,510.0
Brasília,1613,6012,3.73,2265.0,642.36,510.0
Água Boa,2381,8553,3.59,3920.0,763.51,510.0
Aeroporto,321,1170,3.64,571.0,743.83,510.0
Arirambá,519,1942,3.74,610.0,774.63,510.0
Carananduba,1376,5445,3.96,2405.0,689.66,510.0
Caruara,203,794,3.91,363.0,640.03,510.0
Farol,236,849,3.6,418.0,932.94,510.0
Mangueiras,788,2842,3.61,1270.0,768.62,510.0
Maracajá,844,3345,3.96,1560.0,779.51,510.0
Natal do Murubira,291,1098,3.77,429.0,698.11,510.0
Porto Arthur,75,282,3.76,127.0,803.52,510.0
São Francisco,632,2437,3.86,838.0,865.14,510.0
Sucurijuquara,257,1074,4.18,384.0,561.4,510.0
Vila,842,3034,3.6,1662.0,937.1,510.0
Praia Grande,197,748,3.8,377.0,1133.13,510.0
Chapéu Virado,322,1156,3.59,573.0,864.41,510.0
Murubira,437,1517,3.47,778.0,703.39,510.0
Bonfim,210,776,3.7,209.0,534.64,480.0
Marahú,42,132,3.14,72.0,1545.19,740.5
Paraíso,95,315,3.32,172.0,740.55,500.0
Baía do Sol,589,2414,4.1,1119.0,661.48,510.0
