Bairro,IDH-R,IDH-L,IDH-E,IDH
Nazaré, 0.961 , 0.932 , 0.888 , 0.927
Reduto, 0.961 , 0.932 , 0.888 , 0.927
Campina, 0.944 , 0.929 , 0.882 , 0.918
São Brás, 0.920 , 0.925 , 0.877 , 0.907
Umarizal, 0.883 , 0.917 , 0.857 , 0.885
Miramar, 0.862 , 0.915 , 0.866 , 0.881
Batista Campos, 0.869 , 0.901 , 0.829 , 0.866
Souza, 0.825 , 0.903 , 0.839 , 0.855
Marco, 0.833 , 0.888 , 0.803 , 0.841
Cidade Velha, 0.828 , 0.891 , 0.802 , 0.840
Val-de-Cães, 0.841 , 0.882 , 0.798 , 0.839
Parque Verde, 0.812 , 0.875 , 0.792 , 0.820
Marambaia, 0.792 , 0.805 , 0.772 , 0.813
Jurunas, 0.778 , 0.872 , 0.762 , 0.802
Mangueirão, 0.768 , 0.868 , 0.755 , 0.795
Canudos, 0.751 , 0.873 , 0.752 , 0.790
Pratinha, 0.791 , 0.842 , 0.730 , 0.785
Pedreira, 0.746 , 0.866 , 0.742 , 0.784
Coqueiro, 0.736 , 0.859 , 0.733 , 0.774
Fátima, 0.720 , 0.856 , 0.721 , 0.763
Tenoné, 0.726 , 0.843 , 0.716 , 0.760
Sacramenta, 0.700 , 0.840 , 0.734 , 0.758
Telégrafo, 0.723 , 0.840 , 0.699 , 0.754
Ponta Grossa, 0.708 , 0.844 , 0.716 , 0.753
Castanheira, 0.712 , 0.844 , 0.706 , 0.751
Guamá, 0.709 , 0.830 , 0.699 , 0.746
Águas Negras, 0.723 , 0.830 , 0.684 , 0.745
Parque Guajará, 0.694 , 0.824 , 0.678 , 0.729
Vila, 0.701 , 0.826 , 0.663 , 0.727
Murubira, 0.701 , 0.826 , 0.663 , 0.727
Porto Arthur, 0.701 , 0.826 , 0.663 , 0.727
Aeroporto, 0.701 , 0.826 , 0.663 , 0.727
Chapéu Virado, 0.701 , 0.826 , 0.663 , 0.727
Praia Grande, 0.701 , 0.826 , 0.663 , 0.727
Farol, 0.701 , 0.826 , 0.663 , 0.727
Cremação, 0.690 , 0.825 , 0.668 , 0.724
Agulha, 0.678 , 0.825 , 0.667 , 0.719
Cruzeiro, 0.675 , 0.815 , 0.671 , 0.717
Maracangalha, 0.669 , 0.812 , 0.661 , 0.711
Tapanã, 0.675 , 0.811 , 0.656 , 0.710
Campina de Icoaraci, 0.669 , 0.819 , 0.653 , 0.709
Curió-Utinga, 0.674 , 0.823 , 0.646 , 0.708
Carananduba, 0.654 , 0.803 , 0.651 , 0.699
Montese (Terra Firme), 0.798 , 0.801 , 0.621 , 0.687
Barreiro, 0.668 , 0.806 , 0.594 , 0.684
São João do Outeiro, 0.655 , 0.807 , 0.603 , 0.683
Bengui, 0.641 , 0.790 , 0.609 , 0.676
Cabanagem, 0.618 , 0.761 , 0.602 , 0.657
Una, 0.618 , 0.761 , 0.602 , 0.657
Guanabara, 0.630 , 0.792 , 0.565 , 0.656
Maracacuera, 0.626 , 0.766 , 0.583 , 0.654
Condor, 0.616 , 0.769 , 0.549 , 0.644
Arirambá, 0.620 , 0.758 , 0.549 , 0.642
São Francisco, 0.620 , 0.758 , 0.549 , 0.642
São Clemente, 0.616 , 0.755 , 0.565 , 0.641
Itaiteua, 0.625 , 0.760 , 0.553 , 0.640
Mangueiras, 0.625 , 0.760 , 0.553 , 0.640
Maracajá, 0.625 , 0.760 , 0.553 , 0.640
Marahú, 0.625 , 0.760 , 0.553 , 0.640
Paraíso, 0.625 , 0.760 , 0.553 , 0.640
Baía do Sol, 0.625 , 0.760 , 0.553 , 0.640
Caruara, 0.625 , 0.760 , 0.553 , 0.640
Águas Lindas, 0.596 , 0.753 , 0.554 , 0.634
Universitário, 0.601 , 0.739 , 0.554 , 0.629
Água Boa, 0.611 , 0.750 , 0.535 , 0.626
Aurá, 0.585 , 0.740 , 0.556 , 0.622
Natal do Murubira, 0.585 , 0.740 , 0.556 , 0.622
Paracuri, 0.585 , 0.740 , 0.556 , 0.622
Brasília, 0.562 , 0.723 , 0.463 , 0.573
Sucurijuquara, 0.562 , 0.723 , 0.463 , 0.573
Bonfim, 0.562 , 0.723 , 0.463 , 0.573
