"Tabela 3033 - Número de domicílios particulares ocupados, pessoas residentes em domicílios particulares ocupados e média de moradores em domicílios particulares ocupados, por situação e localização da área - Sinopse"
"Variável - Número de domicílios particulares ocupados (Unidades)"
"Bairro";"Ano x Situação e localização da área"
"Bairro";"2010"
"Bairro";"Total";"Urbana - cidade ou vila - área urbanizada"
"Batista Campos - Belém (PA)";"5795";"5795"
"Canudos - Belém (PA)";"3619";"3619"
"Cidade Velha - Belém (PA)";"3086";"3086"
"Condor - Belém (PA)";"10414";"10414"
"Cremação - Belém (PA)";"8324";"8324"
"Guamá - Belém (PA)";"23402";"23402"
"Jurunas - Belém (PA)";"15886";"15886"
"Marambaia - Belém (PA)";"17563";"17563"
"Marco - Belém (PA)";"18162";"18162"
"Fátima - Belém (PA)";"3008";"3008"
"Nazaré - Belém (PA)";"6404";"6404"
"Pedreira - Belém (PA)";"19016";"19016"
"Reduto - Belém (PA)";"1945";"1945"
"Sacramenta - Belém (PA)";"11515";"11515"
"São Brás - Belém (PA)";"5848";"5848"
"Souza - Belém (PA)";"3842";"3842"
"Telégrafo - Belém (PA)";"10587";"10587"
"Montese (Terra Firme) - Belém (PA)";"15478";"15478"
"Campina - Belém (PA)";"2081";"2081"
"Umarizal - Belém (PA)";"8577";"8577"
"Barreiro - Belém (PA)";"6303";"6303"
"Maracangalha - Belém (PA)";"7707";"7707"
"Miramar - Belém (PA)";"139";"139"
"Curió-Utinga - Belém (PA)";"4414";"4347"
"Val-de-Cães - Belém (PA)";"1909";"1909"
"Mangueirão - Belém (PA)";"10092";"10092"
"Universitário - Belém (PA)";"689";"689"
"Castanheira - Belém (PA)";"6714";"6714"
"Guanabara - Belém (PA)";"430";"430"
"Águas Lindas - Belém (PA)";"4719";"4719"
"Aurá - Belém (PA)";"516";"516"
"Bengui - Belém (PA)";"7592";"7592"
"Cabanagem - Belém (PA)";"7151";"7151"
"Coqueiro - Belém (PA)";"14164";"14164"
"Parque Verde - Belém (PA)";"10776";"10776"
"Pratinha - Belém (PA)";"5737";"5737"
"São Clemente - Belém (PA)";"2124";"2124"
"Tapanã - Belém (PA)";"17529";"17529"
"Una - Belém (PA)";"1836";"1836"
"Águas Negras - Belém (PA)";"1842";"1842"
"Agulha - Belém (PA)";"5169";"5169"
"Campina de Icoaraci - Belém (PA)";"7073";"7073"
"Cruzeiro - Belém (PA)";"3109";"3109"
"Maracacuera - Belém (PA)";"3572";"3572"
"Paracuri - Belém (PA)";"2552";"2552"
"Parque Guajará - Belém (PA)";"9385";"9385"
"Ponta Grossa - Belém (PA)";"3694";"3694"
"Tenoné - Belém (PA)";"8267";"8267"
"São João do Outeiro - Belém (PA)";"3378";"3378"
"Itaiteua - Belém (PA)";"526";"526"
"Brasília - Belém (PA)";"1613";"1613"
"Água Boa - Belém (PA)";"2381";"2381"
"Aeroporto - Belém (PA)";"321";"321"
"Arirambá - Belém (PA)";"519";"519"
"Carananduba - Belém (PA)";"1376";"1376"
"Caruara - Belém (PA)";"203";"-"
"Farol - Belém (PA)";"236";"236"
"Mangueiras - Belém (PA)";"788";"788"
"Maracajá - Belém (PA)";"844";"844"
"Natal do Murubira - Belém (PA)";"291";"291"
"Porto Arthur - Belém (PA)";"75";"75"
"São Francisco - Belém (PA)";"632";"632"
"Sucurijuquara - Belém (PA)";"257";"-"
"Vila - Belém (PA)";"842";"842"
"Praia Grande - Belém (PA)";"197";"197"
"Chapéu Virado - Belém (PA)";"322";"322"
"Murubira - Belém (PA)";"437";"437"
"Bonfim - Belém (PA)";"210";"210"
"Marahú - Belém (PA)";"42";"-"
"Paraíso - Belém (PA)";"95";"-"
"Baía do Sol - Belém (PA)";"589";"-"
"Gamboa do Belém - Angra dos Reis (RJ)";"380";"380"
"Parque Belém - Angra dos Reis (RJ)";"2215";"2215"
"Nova Belém - Japeri (RJ)";"3478";"3478"
"Jardim Belém - Catanduva (SP)";"260";"260"
"Belém - Taubaté (SP)";"1664";"1664"
"Belém Velho - Porto Alegre (RS)";"2856";"1628"
"Belém Novo - Porto Alegre (RS)";"4355";"3817"
